transcript_id	gene_symbol	gene_family	n_conditions	n_MANE_higher	n_CDS_higher	n_equal	n_CDS_zero	frac_MANE_higher	frac_CDS_higher	frac_CDS_zero	median_ratio_mane_over_cds	median_tpm_mane	median_tpm_cds	classification
ENST00000228510.8	MVK		22	0	0	0	22	0.0	0.0	1.0	NA	51.584	0.0	no_CDS_signal
ENST00000228741.8	ELK3		22	0	0	0	22	0.0	0.0	1.0	NA	50.3076	0.0	no_CDS_signal
ENST00000228945.9	ARHGDIB		22	0	0	0	22	0.0	0.0	1.0	NA	51.45	0.0	no_CDS_signal
ENST00000229195.8	CNOT2		22	0	0	0	22	0.0	0.0	1.0	NA	51.584	0.0	no_CDS_signal
ENST00000229239.10	GAPDH		22	0	0	0	22	0.0	0.0	1.0	NA	51.4522	0.0	no_CDS_signal
ENST00000229264.8	GNB3		22	0	0	0	22	0.0	0.0	1.0	NA	51.4571	0.0	no_CDS_signal
ENST00000229563.6	TMEM14C		22	0	0	0	22	0.0	0.0	1.0	NA	51.4453	0.0	no_CDS_signal
ENST00000229812.8	STK38		22	0	0	0	22	0.0	0.0	1.0	NA	50.6085	0.0	no_CDS_signal
ENST00000229955.4	GPR63		22	0	0	0	22	0.0	0.0	1.0	NA	50.0034	0.0	no_CDS_signal
ENST00000230056.8	GMNN		22	0	0	0	22	0.0	0.0	1.0	NA	51.4518	0.0	no_CDS_signal
ENST00000230256.8	UNC93A		22	0	0	0	22	0.0	0.0	1.0	NA	51.3586	0.0	no_CDS_signal
ENST00000230321.11	MDFI		22	0	0	0	22	0.0	0.0	1.0	NA	51.4794	0.0	no_CDS_signal
ENST00000230449.9	EXOC2		22	0	0	0	22	0.0	0.0	1.0	NA	50.5189	0.0	no_CDS_signal
ENST00000230538.12	LAMA4		22	0	0	0	22	0.0	0.0	1.0	NA	50.147	0.0	no_CDS_signal
ENST00000230882.9	GHR		22	0	0	0	22	0.0	0.0	1.0	NA	50.2878	0.0	no_CDS_signal
ENST00000231357.7	IRX4		22	0	0	0	22	0.0	0.0	1.0	NA	51.0594	0.0	no_CDS_signal
